#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0.000,Pose1,0,-0.012,-0.525,1.05,-0.525,0.012,0,-0.012,-0.525,1.05,-0.525,0.012
0.040,Pose2,0,-0.011,-0.525,1.05,-0.525,0.011,0,-0.011,-0.525,1.05,-0.525,0.011
0.080,Pose3,0,-0.009,-0.525,1.05,-0.525,0.009,0,-0.009,-0.525,1.05,-0.525,0.009
0.120,Pose4,0,-0.007,-0.525,1.05,-0.525,0.007,0,-0.007,-0.525,1.05,-0.525,0.007
0.160,Pose5,0,-0.004,-0.525,1.05,-0.525,0.004,0,-0.004,-0.525,1.05,-0.525,0.004
0.200,Pose6,0,0.001,-0.525,1.051,-0.525,-0.001,0,0.001,-0.525,1.051,-0.525,-0.001
0.240,Pose7,0,0.006,-0.525,1.05,-0.525,-0.006,0,0.006,-0.525,1.05,-0.525,-0.006
0.280,Pose8,0,0.012,-0.525,1.05,-0.525,-0.012,0,0.012,-0.525,1.05,-0.525,-0.012
0.320,Pose9,0,0.024,-0.525,1.05,-0.525,-0.024,0,0.024,-0.525,1.05,-0.525,-0.024
0.360,Pose10,0,0.035,-0.524,1.049,-0.524,-0.035,0,0.035,-0.524,1.049,-0.524,-0.035
0.400,Pose11,0,0.048,-0.523,1.047,-0.523,-0.048,0,0.049,-0.523,1.047,-0.523,-0.049
0.440,Pose12,0,0.076,-0.52,1.041,-0.521,-0.076,0,0.076,-0.52,1.041,-0.521,-0.076
0.480,Pose13,0,0.1,-0.516,1.034,-0.518,-0.1,0,0.1,-0.516,1.034,-0.518,-0.1
0.520,Pose14,0,0.141,-0.507,1.017,-0.51,-0.141,0,0.141,-0.507,1.017,-0.51,-0.141
0.560,Pose15,0,0.17,-0.498,1.001,-0.503,-0.17,0,0.17,-0.498,1.001,-0.503,-0.17
0.600,Pose16,0,0.197,-0.487,0.982,-0.495,-0.197,0,0.197,-0.487,0.982,-0.495,-0.197
0.640,Pose17,0,0.232,-0.472,0.954,-0.482,-0.232,0,0.232,-0.472,0.953,-0.482,-0.232
0.680,Pose18,-0.001,0.249,-0.464,0.941,-0.476,-0.249,-0.001,0.248,-0.463,0.937,-0.474,-0.249
0.720,Pose19,-0.011,0.264,-0.471,0.959,-0.484,-0.264,-0.011,0.253,-0.452,0.926,-0.47,-0.262
0.760,Pose20,-0.043,0.284,-0.505,1.044,-0.516,-0.284,-0.043,0.217,-0.431,0.924,-0.47,-0.277
0.800,Pose21,-0.073,0.296,-0.531,1.12,-0.546,-0.295,-0.073,0.197,-0.413,0.93,-0.475,-0.285
0.840,Pose22,-0.108,0.306,-0.553,1.197,-0.578,-0.303,-0.108,0.202,-0.39,0.94,-0.483,-0.29
0.880,Pose23,-0.168,0.317,-0.563,1.291,-0.619,-0.311,-0.168,0.205,-0.348,0.955,-0.499,-0.296
0.920,Pose24,-0.21,0.323,-0.55,1.328,-0.638,-0.312,-0.21,0.204,-0.314,0.963,-0.51,-0.298
0.960,Pose25,-0.254,0.326,-0.522,1.339,-0.646,-0.309,-0.254,0.201,-0.275,0.967,-0.521,-0.297
1.000,Pose26,-0.318,0.328,-0.453,1.308,-0.637,-0.3,-0.318,0.189,-0.213,0.965,-0.534,-0.292
1.040,Pose27,-0.358,0.326,-0.397,1.258,-0.615,-0.29,-0.358,0.177,-0.171,0.959,-0.542,-0.286
1.080,Pose28,-0.394,0.322,-0.337,1.192,-0.583,-0.278,-0.394,0.163,-0.132,0.953,-0.548,-0.277
1.120,Pose29,-0.438,0.31,-0.252,1.085,-0.528,-0.253,-0.438,0.143,-0.084,0.945,-0.555,-0.257
1.160,Pose30,-0.459,0.297,-0.207,1.024,-0.497,-0.234,-0.459,0.162,-0.064,0.945,-0.559,-0.24
1.200,Pose31,-0.473,0.279,-0.178,0.987,-0.478,-0.211,-0.473,0.166,-0.056,0.951,-0.563,-0.22
